season,week,contestant_index,name,prob_eliminated
3,1,3,Monique Coleman,0.04869919642806053
3,1,4,Joey Lawrence,0.03656156733632088
3,1,5,Mario Lopez,0.01771245338022709
3,1,6,Emmitt Smith,0.0216312725096941
3,1,7,Shanna Moakler,0.11943884193897247
3,1,8,Willa Ford,0.04495572671294212
3,1,9,Sara Evans,0.09264400601387024
3,1,10,Jerry Springer,0.07356642186641693
3,1,11,Tucker Carlson,0.38435402512550354
3,2,1,Harry Hamlin,0.20314641296863556
3,2,2,Vivica A. Fox,0.09214036166667938
3,2,3,Monique Coleman,0.02472805790603161
3,2,4,Joey Lawrence,0.011143828742206097
3,2,5,Mario Lopez,0.061806779354810715
3,2,6,Emmitt Smith,0.028009586036205292
3,2,7,Shanna Moakler,0.24413487315177917
3,2,8,Willa Ford,0.08241360634565353
3,2,9,Sara Evans,0.10794194042682648
3,2,10,Jerry Springer,0.1445346474647522
3,3,1,Harry Hamlin,0.3387264609336853
3,3,2,Vivica A. Fox,0.08337130397558212
3,3,3,Monique Coleman,0.021543385460972786
3,3,4,Joey Lawrence,0.06888928264379501
3,3,5,Mario Lopez,0.04929187521338463
3,3,6,Emmitt Smith,0.09503927081823349
3,3,8,Willa Ford,0.170930877327919
3,3,9,Sara Evans,0.056177087128162384
3,3,10,Jerry Springer,0.11603041738271713
3,4,2,Vivica A. Fox,0.3223429322242737
3,4,3,Monique Coleman,0.07355371117591858
3,4,4,Joey Lawrence,0.030914751812815666
3,4,5,Mario Lopez,0.013181622140109539
3,4,6,Emmitt Smith,0.03923390060663223
3,4,8,Willa Ford,0.06536950916051865
3,4,9,Sara Evans,0.316104531288147
3,4,10,Jerry Springer,0.13929900527000427
3,5,3,Monique Coleman,0.02862382121384144
3,5,4,Joey Lawrence,0.0886346772313118
3,5,5,Mario Lopez,0.012803568504750729
3,5,6,Emmitt Smith,0.010453034192323685
3,5,8,Willa Ford,0.11284696310758591
3,5,9,Sara Evans,0.47052136063575745
3,5,10,Jerry Springer,0.2761165499687195
3,6,3,Monique Coleman,0.0931457057595253
3,6,4,Joey Lawrence,0.027525462210178375
3,6,5,Mario Lopez,0.0007768209907226264
3,6,6,Emmitt Smith,0.000614816730376333
3,6,10,Jerry Springer,0.8779371976852417
3,7,3,Monique Coleman,0.0986383780837059
3,7,4,Joey Lawrence,0.022755548357963562
3,7,5,Mario Lopez,0.001308583770878613
3,7,6,Emmitt Smith,0.0004148980660829693
3,7,10,Jerry Springer,0.8768826127052307
3,8,3,Monique Coleman,0.9294880032539368
3,8,4,Joey Lawrence,0.06995344907045364
3,8,5,Mario Lopez,4.617924423655495e-05
3,8,6,Emmitt Smith,0.0005123724113218486
3,9,4,Joey Lawrence,0.982981264591217
3,9,5,Mario Lopez,0.01385178416967392
3,9,6,Emmitt Smith,0.0031669423915445805
3,10,5,Mario Lopez,0.9999545812606812
3,10,6,Emmitt Smith,4.539786823443137e-05
4,1,1,John Ratzenberger,0.07359452545642853
4,1,2,Ian Ziering,0.0354621559381485
4,1,3,Clyde Drexler,0.11550169438123703
4,1,4,Laila Ali,0.024622833356261253
4,1,5,Apolo Anton Ohno,0.03154115006327629
4,1,6,Shandi Finnessey,0.12359891086816788
4,1,7,Paulina Porizkova,0.16719426214694977
4,1,8,Heather Mills,0.08043958246707916
4,1,9,Billy Ray Cyrus,0.1252635419368744
4,1,10,Joey Fatone,0.021230900660157204
4,1,11,Leeza Gibbons,0.2015504390001297
4,2,1,John Ratzenberger,0.06754331290721893
4,2,2,Ian Ziering,0.04870957136154175
4,2,3,Clyde Drexler,0.16898073256015778
4,2,4,Laila Ali,0.016450177878141403
4,2,5,Apolo Anton Ohno,0.019054943695664406
4,2,6,Shandi Finnessey,0.1908780038356781
4,2,7,Paulina Porizkova,0.21116872131824493
4,2,8,Heather Mills,0.046633921563625336
4,2,9,Billy Ray Cyrus,0.06242059916257858
4,2,10,Joey Fatone,0.03055441938340664
4,2,11,Leeza Gibbons,0.13760554790496826
4,3,1,John Ratzenberger,0.08579116314649582
4,3,2,Ian Ziering,0.03800959885120392
4,3,3,Clyde Drexler,0.250679075717926
4,3,4,Laila Ali,0.05628334358334541
4,3,5,Apolo Anton Ohno,0.03762379661202431
4,3,6,Shandi Finnessey,0.2415134310722351
4,3,8,Heather Mills,0.06425249576568604
4,3,9,Billy Ray Cyrus,0.06530427187681198
4,3,10,Joey Fatone,0.03505725413560867
4,3,11,Leeza Gibbons,0.12548553943634033
4,4,1,John Ratzenberger,0.12422528117895126
4,4,2,Ian Ziering,0.025265149772167206
4,4,3,Clyde Drexler,0.25074130296707153
4,4,4,Laila Ali,0.038091450929641724
4,4,5,Apolo Anton Ohno,0.014534753747284412
4,4,8,Heather Mills,0.05708323419094086
4,4,9,Billy Ray Cyrus,0.04569518566131592
4,4,10,Joey Fatone,0.01148500107228756
4,4,11,Leeza Gibbons,0.4328785836696625
4,5,1,John Ratzenberger,0.09078146517276764
4,5,2,Ian Ziering,0.026209544390439987
4,5,3,Clyde Drexler,0.5945507287979126
4,5,4,Laila Ali,0.01248539611697197
4,5,5,Apolo Anton Ohno,0.007671172730624676
4,5,8,Heather Mills,0.1764514446258545
4,5,9,Billy Ray Cyrus,0.07354738563299179
4,5,10,Joey Fatone,0.018302904441952705
4,6,1,John Ratzenberger,0.3374252915382385
4,6,2,Ian Ziering,0.05990944430232048
4,6,4,Laila Ali,0.01777096651494503
4,6,5,Apolo Anton Ohno,0.013652313500642776
4,6,8,Heather Mills,0.40094295144081116
4,6,9,Billy Ray Cyrus,0.14738410711288452
4,6,10,Joey Fatone,0.02291489765048027
4,7,1,John Ratzenberger,0.6005985140800476
4,7,2,Ian Ziering,0.05040646344423294
4,7,4,Laila Ali,0.014129738323390484
4,7,5,Apolo Anton Ohno,0.008621195331215858
4,7,9,Billy Ray Cyrus,0.311187744140625
4,7,10,Joey Fatone,0.015056305564939976
4,8,2,Ian Ziering,0.11095114797353745
4,8,4,Laila Ali,0.005373893305659294
4,8,5,Apolo Anton Ohno,0.0002944373700302094
4,8,9,Billy Ray Cyrus,0.8764524459838867
4,8,10,Joey Fatone,0.00692803505808115
4,9,2,Ian Ziering,0.9073703289031982
4,9,4,Laila Ali,0.03780648112297058
4,9,5,Apolo Anton Ohno,8.755536691751331e-05
4,9,10,Joey Fatone,0.05473567917943001
4,10,4,Laila Ali,0.01954350247979164
4,10,5,Apolo Anton Ohno,0.00018313287000637501
4,10,10,Joey Fatone,0.9802733659744263
5,1,1,Cameron Mathison,0.05020688474178314
5,1,2,Jane Seymour,0.03401944413781166
5,1,3,Sabrina Bryan,0.029750963672995567
5,1,4,Jennie Garth,0.04728463664650917
5,1,5,Floyd Mayweather Jr. ,0.12240264564752579
5,1,6,Josie Maran,0.3214053511619568
5,1,7,Albert Reed,0.11386296153068542
5,1,8,Helio Castroneves,0.02321239374577999
5,1,9,Mel B,0.029379848390817642
5,1,10,Wayne Newton,0.119338259100914
5,1,11,Marie Osmond,0.04368719831109047
5,1,12,Mark Cuban,0.06544941663742065
5,2,1,Cameron Mathison,0.0573754757642746
5,2,2,Jane Seymour,0.06227158382534981
5,2,3,Sabrina Bryan,0.04073250666260719
5,2,4,Jennie Garth,0.05270764231681824
5,2,5,Floyd Mayweather Jr. ,0.10755585879087448
5,2,7,Albert Reed,0.18278886377811432
5,2,8,Helio Castroneves,0.020361585542559624
5,2,9,Mel B,0.038916222751140594
5,2,10,Wayne Newton,0.2817046046257019
5,2,11,Marie Osmond,0.0317809097468853
5,2,12,Mark Cuban,0.1238047331571579
5,3,1,Cameron Mathison,0.05090069770812988
5,3,2,Jane Seymour,0.031113553792238235
5,3,3,Sabrina Bryan,0.04568867012858391
5,3,4,Jennie Garth,0.027619488537311554
5,3,5,Floyd Mayweather Jr. ,0.19719597697257996
5,3,8,Helio Castroneves,0.02884986624121666
5,3,9,Mel B,0.022067874670028687
5,3,10,Wayne Newton,0.42191994190216064
5,3,11,Marie Osmond,0.022945646196603775
5,3,12,Mark Cuban,0.15169833600521088
5,4,1,Cameron Mathison,0.03894241526722908
5,4,2,Jane Seymour,0.06013433635234833
5,4,3,Sabrina Bryan,0.0349508598446846
5,4,4,Jennie Garth,0.03248652443289757
5,4,5,Floyd Mayweather Jr. ,0.4210219383239746
5,4,8,Helio Castroneves,0.022921375930309296
5,4,9,Mel B,0.03860534727573395
5,4,11,Marie Osmond,0.03315591439604759
5,4,12,Mark Cuban,0.3177812695503235
5,5,1,Cameron Mathison,0.038128793239593506
5,5,2,Jane Seymour,0.05210820212960243
5,5,3,Sabrina Bryan,0.07068967819213867
5,5,4,Jennie Garth,0.03686923906207085
5,5,8,Helio Castroneves,0.03533128276467323
5,5,9,Mel B,0.009891332127153873
5,5,11,Marie Osmond,0.07675354182720184
5,5,12,Mark Cuban,0.6802279949188232
5,6,1,Cameron Mathison,0.0985957458615303
5,6,2,Jane Seymour,0.3947150409221649
5,6,3,Sabrina Bryan,0.36184805631637573
5,6,4,Jennie Garth,0.03449895605444908
5,6,8,Helio Castroneves,0.012371683493256569
5,6,9,Mel B,0.010218760930001736
5,6,11,Marie Osmond,0.0877518281340599
5,7,1,Cameron Mathison,0.16361360251903534
5,7,2,Jane Seymour,0.7999638319015503
5,7,4,Jennie Garth,0.01712690480053425
5,7,8,Helio Castroneves,0.004846659023314714
5,7,9,Mel B,0.005651344545185566
5,7,11,Marie Osmond,0.008797701448202133
5,8,1,Cameron Mathison,0.6890000700950623
5,8,4,Jennie Garth,0.24487408995628357
5,8,8,Helio Castroneves,0.0008582352311350405
5,8,9,Mel B,0.010424749925732613
5,8,11,Marie Osmond,0.05484279990196228
5,9,4,Jennie Garth,0.8697193264961243
5,9,8,Helio Castroneves,0.001203574938699603
5,9,9,Mel B,0.09294344484806061
5,9,11,Marie Osmond,0.036133650690317154
5,10,8,Helio Castroneves,0.006078391335904598
5,10,9,Mel B,0.5156883597373962
5,10,11,Marie Osmond,0.4782331883907318
6,1,1,Cristian de la Fuente,0.031468410044908524
6,1,2,Steve Guttenberg,0.1048407033085823
6,1,3,Priscilla Presley,0.030037647113204002
6,1,4,Marlee Matlin,0.03451460227370262
6,1,5,Shannon Elizabeth,0.03668847680091858
6,1,6,Marissa Jaret Winokur,0.05203476920723915
6,1,7,Jason Taylor,0.026521412655711174
6,1,8,Kristi Yamaguchi,0.01160886324942112
6,1,9,Monica Seles,0.2758055627346039
6,1,10,Penn Jillette,0.23383936285972595
6,1,11,Adam Carolla,0.1407591849565506
6,1,12,Mario,0.021880943328142166
6,2,1,Cristian de la Fuente,0.0430692657828331
6,2,2,Steve Guttenberg,0.1498536914587021
6,2,3,Priscilla Presley,0.05767139419913292
6,2,4,Marlee Matlin,0.033556751906871796
6,2,5,Shannon Elizabeth,0.030582426115870476
6,2,6,Marissa Jaret Winokur,0.03973771259188652
6,2,7,Jason Taylor,0.01772438734769821
6,2,8,Kristi Yamaguchi,0.016678761690855026
6,2,9,Monica Seles,0.28305816650390625
6,2,10,Penn Jillette,0.2181394249200821
6,2,11,Adam Carolla,0.0874146968126297
6,2,12,Mario,0.022513315081596375
6,3,1,Cristian de la Fuente,0.025776375085115433
6,3,2,Steve Guttenberg,0.29661834239959717
6,3,3,Priscilla Presley,0.04518041014671326
6,3,4,Marlee Matlin,0.11186631768941879
6,3,5,Shannon Elizabeth,0.04454940930008888
6,3,6,Marissa Jaret Winokur,0.12340226024389267
6,3,7,Jason Taylor,0.04077991470694542
6,3,8,Kristi Yamaguchi,0.013501250185072422
6,3,11,Adam Carolla,0.21481846272945404
6,3,12,Mario,0.08350730687379837
6,4,1,Cristian de la Fuente,0.03000028245151043
6,4,3,Priscilla Presley,0.19492107629776
6,4,4,Marlee Matlin,0.08573693782091141
6,4,5,Shannon Elizabeth,0.03375450521707535
6,4,6,Marissa Jaret Winokur,0.0474463626742363
6,4,7,Jason Taylor,0.017321623861789703
6,4,8,Kristi Yamaguchi,0.014517690055072308
6,4,11,Adam Carolla,0.5209378600120544
6,4,12,Mario,0.05536371469497681
6,5,1,Cristian de la Fuente,0.0474562793970108
6,5,3,Priscilla Presley,0.5802333950996399
6,5,4,Marlee Matlin,0.19796064496040344
6,5,5,Shannon Elizabeth,0.09489616006612778
6,5,6,Marissa Jaret Winokur,0.04194483160972595
6,5,7,Jason Taylor,0.012197262607514858
6,5,8,Kristi Yamaguchi,0.004902916960418224
6,5,12,Mario,0.020408570766448975
6,6,1,Cristian de la Fuente,0.016960088163614273
6,6,4,Marlee Matlin,0.7336100935935974
6,6,5,Shannon Elizabeth,0.15019063651561737
6,6,6,Marissa Jaret Winokur,0.03255200758576393
6,6,7,Jason Taylor,0.02853982523083687
6,6,8,Kristi Yamaguchi,0.003972806502133608
6,6,12,Mario,0.03417462483048439
6,7,1,Cristian de la Fuente,0.1525323987007141
6,7,5,Shannon Elizabeth,0.5066868662834167
6,7,6,Marissa Jaret Winokur,0.08665237575769424
6,7,7,Jason Taylor,0.020013783127069473
6,7,8,Kristi Yamaguchi,0.010318485088646412
6,7,12,Mario,0.22379611432552338
6,8,1,Cristian de la Fuente,0.012111963704228401
6,8,6,Marissa Jaret Winokur,0.4260636568069458
6,8,7,Jason Taylor,0.04787123203277588
6,8,8,Kristi Yamaguchi,0.0038373544812202454
6,8,12,Mario,0.5101157426834106
6,9,1,Cristian de la Fuente,0.08278194069862366
6,9,6,Marissa Jaret Winokur,0.9071045517921448
6,9,7,Jason Taylor,0.010034279897809029
6,9,8,Kristi Yamaguchi,7.931714208098128e-05
6,10,1,Cristian de la Fuente,0.4541025757789612
6,10,7,Jason Taylor,0.5457587242126465
6,10,8,Kristi Yamaguchi,0.0001386909425491467
7,1,1,Ted McGinley,0.14012828469276428
7,1,2,Cloris Leachman,0.07053273916244507
7,1,3,Susan Lucci,0.05071064457297325
7,1,4,Cody Linley,0.03527745231986046
7,1,5,Misty May-Treanor,0.07718817889690399
7,1,6,Maurice Greene,0.0428038015961647
7,1,7,Warren Sapp,0.030588163062930107
7,1,8,Jeffrey Ross,0.27491384744644165
7,1,9,Toni Braxton,0.04586392641067505
7,1,10,Lance Bass,0.030547671020030975
7,1,11,Kim Kardashian,0.10182087123394012
7,1,12,Rocco DiSpirito,0.07998951524496078
7,1,13,Brooke Burke,0.019634848460555077
7,2,2,Cloris Leachman,0.14285282790660858
7,2,3,Susan Lucci,0.04639891907572746
7,2,4,Cody Linley,0.035645198076963425
7,2,5,Misty May-Treanor,0.13271628320217133
7,2,6,Maurice Greene,0.05765229091048241
7,2,7,Warren Sapp,0.020245403051376343
7,2,9,Toni Braxton,0.05287159979343414
7,2,10,Lance Bass,0.03909841179847717
7,2,11,Kim Kardashian,0.2701375186443329
7,2,12,Rocco DiSpirito,0.18638984858989716
7,2,13,Brooke Burke,0.015991661697626114
7,3,2,Cloris Leachman,0.2579902410507202
7,3,3,Susan Lucci,0.08892501890659332
7,3,4,Cody Linley,0.05433272942900658
7,3,6,Maurice Greene,0.04417002573609352
7,3,7,Warren Sapp,0.02482493966817856
7,3,9,Toni Braxton,0.17871247231960297
7,3,10,Lance Bass,0.04030977934598923
7,3,12,Rocco DiSpirito,0.30093398690223694
7,3,13,Brooke Burke,0.009800889529287815
7,4,2,Cloris Leachman,0.09084701538085938
7,4,3,Susan Lucci,0.04517311602830887
7,4,4,Cody Linley,0.03271203488111496
7,4,6,Maurice Greene,0.08418475091457367
7,4,7,Warren Sapp,0.035075340420007706
7,4,9,Toni Braxton,0.17639735341072083
7,4,10,Lance Bass,0.01489716675132513
7,4,12,Rocco DiSpirito,0.5114490985870361
7,4,13,Brooke Burke,0.009264043532311916
7,5,2,Cloris Leachman,0.2787304222583771
7,5,3,Susan Lucci,0.1470334678888321
7,5,4,Cody Linley,0.010784978047013283
7,5,6,Maurice Greene,0.021223952993750572
7,5,7,Warren Sapp,0.025192653760313988
7,5,9,Toni Braxton,0.41704872250556946
7,5,10,Lance Bass,0.09613260626792908
7,5,13,Brooke Burke,0.0038532372564077377
7,6,2,Cloris Leachman,0.7206113338470459
7,6,3,Susan Lucci,0.12656457722187042
7,6,4,Cody Linley,0.0307802464812994
7,6,6,Maurice Greene,0.08911454677581787
7,6,7,Warren Sapp,0.016343697905540466
7,6,10,Lance Bass,0.012524024583399296
7,6,13,Brooke Burke,0.004061531741172075
7,7,3,Susan Lucci,0.4523126780986786
7,7,4,Cody Linley,0.18548442423343658
7,7,6,Maurice Greene,0.14950180053710938
7,7,7,Warren Sapp,0.17526192963123322
7,7,10,Lance Bass,0.036270592361688614
7,7,13,Brooke Burke,0.0011685092467814684
7,8,4,Cody Linley,0.12656183540821075
7,8,6,Maurice Greene,0.8490927815437317
7,8,7,Warren Sapp,0.003548791166394949
7,8,10,Lance Bass,0.020681332796812057
7,8,13,Brooke Burke,0.00011533725773915648
7,9,4,Cody Linley,0.9253584742546082
7,9,7,Warren Sapp,0.07005682587623596
7,9,10,Lance Bass,0.0041804187931120396
7,9,13,Brooke Burke,0.00040417839772999287
7,10,7,Warren Sapp,0.5448511838912964
7,10,10,Lance Bass,0.4551488757133484
7,10,13,Brooke Burke,1.3443506308163933e-09
8,1,1,Gilles Marini,0.021551212295889854
8,1,2,Denise Richards,0.13738878071308136
8,1,3,David Alan Grier,0.07135221362113953
8,1,4,Lawrence Taylor,0.0749158263206482
8,1,5,Ty Murray,0.07748939841985703
8,1,6,Shawn Johnson,0.01983647607266903
8,1,7,Steve Wozniak,0.17303290963172913
8,1,8,Belinda Carlisle,0.16442185640335083
8,1,9,Chuck Wicks,0.041413769125938416
8,1,10,Lil' Kim,0.03491385653614998
8,1,11,Steve-O,0.07083988934755325
8,1,12,Holly Madison,0.08929714560508728
8,1,13,Melissa Rycroft,0.023546533659100533
8,2,1,Gilles Marini,0.019910302013158798
8,2,2,Denise Richards,0.11712085455656052
8,2,3,David Alan Grier,0.10991867631673813
8,2,4,Lawrence Taylor,0.05521737039089203
8,2,5,Ty Murray,0.04404623806476593
8,2,6,Shawn Johnson,0.02277499996125698
8,2,7,Steve Wozniak,0.12248392403125763
8,2,8,Belinda Carlisle,0.17429937422275543
8,2,9,Chuck Wicks,0.05126100778579712
8,2,10,Lil' Kim,0.03475330024957657
8,2,11,Steve-O,0.11911635100841522
8,2,12,Holly Madison,0.10764438658952713
8,2,13,Melissa Rycroft,0.021453101187944412
8,3,1,Gilles Marini,0.031204164028167725
8,3,2,Denise Richards,0.2158798724412918
8,3,3,David Alan Grier,0.06963145732879639
8,3,4,Lawrence Taylor,0.06411469727754593
8,3,5,Ty Murray,0.040682047605514526
8,3,6,Shawn Johnson,0.024829154834151268
8,3,7,Steve Wozniak,0.21073868870735168
8,3,9,Chuck Wicks,0.04787063971161842
8,3,10,Lil' Kim,0.03975416719913483
8,3,11,Steve-O,0.09888425469398499
8,3,12,Holly Madison,0.12655548751354218
8,3,13,Melissa Rycroft,0.029855359345674515
8,4,1,Gilles Marini,0.017302902415394783
8,4,3,David Alan Grier,0.11251538246870041
8,4,4,Lawrence Taylor,0.06856290996074677
8,4,5,Ty Murray,0.02532862313091755
8,4,6,Shawn Johnson,0.016486385837197304
8,4,7,Steve Wozniak,0.3287833631038666
8,4,9,Chuck Wicks,0.04535164311528206
8,4,10,Lil' Kim,0.027292145416140556
8,4,11,Steve-O,0.11256947368383408
8,4,12,Holly Madison,0.2286175936460495
8,4,13,Melissa Rycroft,0.017189614474773407
8,5,1,Gilles Marini,0.017020706087350845
8,5,3,David Alan Grier,0.2730443775653839
8,5,4,Lawrence Taylor,0.16741621494293213
8,5,5,Ty Murray,0.07706363499164581
8,5,6,Shawn Johnson,0.0176138523966074
8,5,9,Chuck Wicks,0.07721918821334839
8,5,10,Lil' Kim,0.03879000246524811
8,5,11,Steve-O,0.29854699969291687
8,5,13,Melissa Rycroft,0.033285003155469894
8,6,1,Gilles Marini,0.023540029302239418
8,6,4,Lawrence Taylor,0.16244396567344666
8,6,5,Ty Murray,0.06424771994352341
8,6,6,Shawn Johnson,0.005808498710393906
8,6,9,Chuck Wicks,0.08672290295362473
8,6,10,Lil' Kim,0.032978128641843796
8,6,11,Steve-O,0.6086340546607971
8,6,13,Melissa Rycroft,0.015624710358679295
8,7,1,Gilles Marini,0.027005992829799652
8,7,4,Lawrence Taylor,0.7324996590614319
8,7,5,Ty Murray,0.04342752695083618
8,7,6,Shawn Johnson,0.002776921493932605
8,7,9,Chuck Wicks,0.09968560189008713
8,7,10,Lil' Kim,0.08275359869003296
8,7,13,Melissa Rycroft,0.011850768700242043
8,8,1,Gilles Marini,0.048115842044353485
8,8,5,Ty Murray,0.07213811576366425
8,8,6,Shawn Johnson,0.006500561721622944
8,8,9,Chuck Wicks,0.5680009126663208
8,8,10,Lil' Kim,0.12389639765024185
8,8,13,Melissa Rycroft,0.18134823441505432
8,9,1,Gilles Marini,0.06398233771324158
8,9,5,Ty Murray,0.2927005887031555
8,9,6,Shawn Johnson,0.0019179659429937601
8,9,10,Lil' Kim,0.6142650246620178
8,9,13,Melissa Rycroft,0.027134103700518608
8,10,1,Gilles Marini,0.07659991830587387
8,10,5,Ty Murray,0.8389012217521667
8,10,6,Shawn Johnson,0.0006927878712303936
8,10,13,Melissa Rycroft,0.08380607515573502
8,11,1,Gilles Marini,0.5304815769195557
8,11,6,Shawn Johnson,2.2336168967740377e-06
8,11,13,Melissa Rycroft,0.46951618790626526
9,1,1,Ashley Hamiliton,0.16339565813541412
9,1,2,Debi Mazar,0.07683147490024567
9,1,3,Melissa Joan Hart,0.04725610092282295
9,1,4,Mark Dacascos,0.027214860543608665
9,1,5,Chuck Liddell,0.06971990317106247
9,1,6,Natalie Coughlin,0.04195835813879967
9,1,7,Louie Vito,0.03528914600610733
9,1,8,Michael Irvin,0.06987123936414719
9,1,9,Joanna Krupa,0.015915244817733765
9,1,10,Kathy Ireland,0.11441544443368912
9,1,11,Tom DeLay,0.09301446378231049
9,1,12,Macy Gray,0.16377106308937073
9,1,13,Aaron Carter,0.019676508381962776
9,1,14,Mya,0.02043033391237259
9,1,15,Donny Osmond,0.020997708663344383
9,1,16,Kelly Osbourne,0.02024257369339466
9,2,2,Debi Mazar,0.07722633332014084
9,2,3,Melissa Joan Hart,0.07680580019950867
9,2,4,Mark Dacascos,0.04293742775917053
9,2,5,Chuck Liddell,0.10490143299102783
9,2,6,Natalie Coughlin,0.06280964612960815
9,2,7,Louie Vito,0.07578699290752411
9,2,8,Michael Irvin,0.0538148358464241
9,2,9,Joanna Krupa,0.04884995147585869
9,2,10,Kathy Ireland,0.21263745427131653
9,2,11,Tom DeLay,0.15396058559417725
9,2,13,Aaron Carter,0.010204577818512917
9,2,14,Mya,0.00933832861483097
9,2,15,Donny Osmond,0.013293012976646423
9,2,16,Kelly Osbourne,0.05743367224931717
9,3,2,Debi Mazar,0.17845210433006287
9,3,3,Melissa Joan Hart,0.0640101358294487
9,3,4,Mark Dacascos,0.05857548490166664
9,3,5,Chuck Liddell,0.13811129331588745
9,3,6,Natalie Coughlin,0.0424274243414402
9,3,7,Louie Vito,0.055461056530475616
9,3,8,Michael Irvin,0.09446247667074203
9,3,9,Joanna Krupa,0.027045676484704018
9,3,11,Tom DeLay,0.2285013198852539
9,3,13,Aaron Carter,0.03660549595952034
9,3,14,Mya,0.015264097601175308
9,3,15,Donny Osmond,0.02639242634177208
9,3,16,Kelly Osbourne,0.03469090908765793
9,4,3,Melissa Joan Hart,0.034280430525541306
9,4,4,Mark Dacascos,0.05686500295996666
9,4,5,Chuck Liddell,0.3222784698009491
9,4,6,Natalie Coughlin,0.10977447032928467
9,4,7,Louie Vito,0.1669563502073288
9,4,8,Michael Irvin,0.1266055405139923
9,4,9,Joanna Krupa,0.02601686120033264
9,4,13,Aaron Carter,0.08342471718788147
9,4,14,Mya,0.0174846388399601
9,4,15,Donny Osmond,0.0232177022844553
9,4,16,Kelly Osbourne,0.03309587389230728
9,5,3,Melissa Joan Hart,0.12621615827083588
9,5,4,Mark Dacascos,0.038486965000629425
9,5,6,Natalie Coughlin,0.3353572189807892
